"label","id_occupation"
"weaving inspector","02375132-3290-4221-bf55-d93ec61a3bf3"
"needle loom weaver","02375132-3290-4221-bf55-d93ec61a3bf3"
"wall tiler","02447817-ea01-4d8b-b09c-8bc128e447e6"
"floor tiler","02447817-ea01-4d8b-b09c-8bc128e447e6"
"surface tiler","02447817-ea01-4d8b-b09c-8bc128e447e6"
"tile setter","02447817-ea01-4d8b-b09c-8bc128e447e6"
"tilefitter","02447817-ea01-4d8b-b09c-8bc128e447e6"
"tile installer","02447817-ea01-4d8b-b09c-8bc128e447e6"
"tiling worker","02447817-ea01-4d8b-b09c-8bc128e447e6"
"marble setter","02447817-ea01-4d8b-b09c-8bc128e447e6"
"tiler","02447817-ea01-4d8b-b09c-8bc128e447e6"
"mosaic tiler","02447817-ea01-4d8b-b09c-8bc128e447e6"
"tilesetter","02447817-ea01-4d8b-b09c-8bc128e447e6"
"footwear store manager","0249b723-1d20-4ff9-8623-d20b98d0b4a4"
"cobblers store manager","0249b723-1d20-4ff9-8623-d20b98d0b4a4"
"shop manager (footwear and leather goods retail store)","0249b723-1d20-4ff9-8623-d20b98d0b4a4"
"leather accessories shop manager","0249b723-1d20-4ff9-8623-d20b98d0b4a4"
"shoe shop manager","0249b723-1d20-4ff9-8623-d20b98d0b4a4"
"shoe and leather accessories store manager","0249b723-1d20-4ff9-8623-d20b98d0b4a4"
"shoe store manager","0249b723-1d20-4ff9-8623-d20b98d0b4a4"
"shoe and leather accessories shop manager","0249b723-1d20-4ff9-8623-d20b98d0b4a4"
"leather accessories store manager","0249b723-1d20-4ff9-8623-d20b98d0b4a4"
"cobblers shop manager","0249b723-1d20-4ff9-8623-d20b98d0b4a4"
"package tour manager","02609ece-cea3-43fa-bf38-b6fb821f28b2"
"package tour services manager","02609ece-cea3-43fa-bf38-b6fb821f28b2"
"tour operators manager","02609ece-cea3-43fa-bf38-b6fb821f28b2"
"package tour operator manager","02609ece-cea3-43fa-bf38-b6fb821f28b2"
"bees breeder","026401a9-7d56-4d7b-8052-38985ddbeafa"
"bee rearer","026401a9-7d56-4d7b-8052-38985ddbeafa"
"bee specialist","026401a9-7d56-4d7b-8052-38985ddbeafa"
"beekeeper","026401a9-7d56-4d7b-8052-38985ddbeafa"
"paralegal assistant","0264b794-3771-47aa-a675-78bf13b62ee7"
"certified legal assistant","0264b794-3771-47aa-a675-78bf13b62ee7"
"litigation secretary","0264b794-3771-47aa-a675-78bf13b62ee7"
"litigation legal assistant","0264b794-3771-47aa-a675-78bf13b62ee7"
"legal executive secretary","0264b794-3771-47aa-a675-78bf13b62ee7"
"certified legal secretary specialist","0264b794-3771-47aa-a675-78bf13b62ee7"
"legal secretary","0264b794-3771-47aa-a675-78bf13b62ee7"
